id,elevator,timein,timeout,floorin,floorout
293,3,5/1/17 7:13,5/1/17 7:14,8,3
75,1,5/1/17 13:16,5/1/17 13:16,2,3
75,3,5/1/17 11:22,5/1/17 11:22,8,4
75,3,5/1/17 16:28,5/1/17 16:28,5,8
234,4,5/1/17 10:37,5/1/17 10:37,8,3
234,3,5/1/17 11:37,5/1/17 11:37,3,2
234,4,5/1/17 19:38,5/1/17 19:38,1,2
234,3,5/1/17 15:57,5/1/17 15:57,5,8
234,2,5/1/17 4:06,5/1/17 4:06,5,4
35,2,5/1/17 13:31,5/1/17 13:31,6,5
35,3,5/1/17 16:53,5/1/17 16:54,1,8
35,3,5/1/17 11:33,5/1/17 11:34,2,10
35,3,5/1/17 12:02,5/1/17 12:02,10,3
35,4,5/1/17 4:22,5/1/17 4:23,10,5
14,1,5/1/17 19:15,5/1/17 19:15,9,7
14,4,5/1/17 19:28,5/1/17 19:29,1,3
14,4,5/1/17 13:38,5/1/17 13:39,10,5
14,1,5/1/17 19:22,5/1/17 19:23,9,3
14,4,5/1/17 17:01,5/1/17 17:02,4,8
129,4,5/1/17 11:16,5/1/17 11:16,2,1
129,3,5/1/17 16:57,5/1/17 16:58,2,7
129,1,5/1/17 9:50,5/1/17 9:50,3,7
129,1,5/1/17 18:27,5/1/17 18:27,1,8
179,1,5/1/17 16:41,5/1/17 16:42,6,4
179,1,5/1/17 12:13,5/1/17 12:13,2,4
179,2,5/1/17 19:47,5/1/17 19:47,1,2
179,1,5/1/17 5:03,5/1/17 5:03,4,1
144,1,5/1/17 9:29,5/1/17 9:29,3,4
144,1,5/1/17 15:30,5/1/17 15:31,4,6
144,3,5/1/17 17:14,5/1/17 17:15,6,9
144,4,5/1/17 6:25,5/1/17 6:26,8,1
144,2,5/1/17 12:32,5/1/17 12:32,5,9
35,2,5/1/17 5:20,5/1/17 5:20,5,10
35,1,5/1/17 16:06,5/1/17 16:06,7,5
35,3,5/1/17 18:05,5/1/17 18:05,9,8
144,2,5/1/17 12:52,5/1/17 12:53,9,4
144,1,5/1/17 18:53,5/1/17 18:53,10,9
144,3,5/1/17 8:18,5/1/17 8:19,7,1
2,1,5/1/17 16:57,5/1/17 16:58,2,7
2,1,5/1/17 13:52,5/1/17 13:52,3,6
2,1,5/1/17 16:31,5/1/17 16:31,3,7
2,4,5/1/17 15:10,5/1/17 15:11,9,4
2,3,5/1/17 19:40,5/1/17 19:40,5,2
33,4,5/1/17 17:06,5/1/17 17:07,2,5
33,1,5/1/17 4:38,5/1/17 4:38,3,4
33,3,5/1/17 5:35,5/1/17 5:35,7,10
33,3,5/1/17 10:09,5/1/17 10:09,2,9
256,1,5/1/17 18:57,5/1/17 18:57,7,6
256,2,5/1/17 17:51,5/1/17 17:52,4,10
256,4,5/1/17 11:15,5/1/17 11:16,1,6
256,1,5/1/17 4:54,5/1/17 4:55,8,1
111,4,5/1/17 14:06,5/1/17 14:06,2,5
111,2,5/1/17 19:15,5/1/17 19:15,7,5
111,1,5/1/17 5:07,5/1/17 5:08,10,5
111,4,5/1/17 16:29,5/1/17 16:30,2,8
111,2,5/1/17 19:00,5/1/17 19:00,6,8
245,2,5/1/17 12:54,5/1/17 12:55,9,5
245,3,5/1/17 19:55,5/1/17 19:55,3,6
250,2,5/1/17 10:22,5/1/17 10:23,7,1
250,2,5/1/17 17:54,5/1/17 17:54,10,4
77,4,5/1/17 18:29,5/1/17 18:30,6,2
77,4,5/1/17 13:37,5/1/17 13:37,9,6
77,4,5/1/17 5:47,5/1/17 5:47,7,8
77,1,5/1/17 10:44,5/1/17 10:45,6,1
116,2,5/1/17 8:04,5/1/17 8:06,1,9
116,3,5/1/17 8:30,5/1/17 8:30,4,6
239,4,5/1/17 19:35,5/1/17 19:36,5,7
239,2,5/1/17 10:00,5/1/17 10:00,7,6
239,1,5/1/17 7:00,5/1/17 7:01,10,3
239,1,5/1/17 6:02,5/1/17 6:03,4,3
239,2,5/1/17 10:08,5/1/17 10:08,2,4
250,1,5/1/17 15:30,5/1/17 15:31,3,10
250,1,5/1/17 16:36,5/1/17 16:37,7,1
218,4,5/1/17 7:47,5/1/17 7:47,8,9
218,3,5/1/17 10:16,5/1/17 10:16,10,9
218,2,5/1/17 6:25,5/1/17 6:25,6,9
218,4,5/1/17 4:26,5/1/17 4:26,4,3
218,2,5/1/17 7:19,5/1/17 7:20,9,4
107,1,5/1/17 8:34,5/1/17 8:34,4,3
107,2,5/1/17 16:07,5/1/17 16:07,2,6
107,2,5/1/17 12:54,5/1/17 12:55,8,1
35,2,5/1/17 8:53,5/1/17 8:54,10,6
35,1,5/1/17 8:34,5/1/17 8:34,3,4
27,3,5/1/17 6:26,5/1/17 6:26,6,7
27,2,5/1/17 8:32,5/1/17 8:33,8,4
27,2,5/1/17 11:00,5/1/17 11:00,2,7
27,1,5/1/17 7:46,5/1/17 7:47,8,10
27,4,5/1/17 5:21,5/1/17 5:21,10,5
251,3,5/1/17 19:06,5/1/17 19:07,10,3
251,4,5/1/17 5:19,5/1/17 5:20,1,6
251,1,5/1/17 12:03,5/1/17 12:03,6,1
251,4,5/1/17 11:41,5/1/17 11:41,7,5
229,4,5/1/17 12:53,5/1/17 12:54,3,8
229,4,5/1/17 16:17,5/1/17 16:18,9,5
229,4,5/1/17 6:49,5/1/17 6:50,10,1
175,1,5/1/17 8:33,5/1/17 8:34,4,5
175,4,5/1/17 14:19,5/1/17 14:19,4,8
175,3,5/1/17 9:56,5/1/17 9:57,8,3
175,2,5/1/17 8:00,5/1/17 8:01,9,1
225,2,5/1/17 19:34,5/1/17 19:35,8,3
225,3,5/1/17 9:50,5/1/17 9:51,4,8
194,3,5/1/17 11:07,5/1/17 11:08,3,8
194,2,5/1/17 11:04,5/1/17 11:04,7,8
194,4,5/1/17 19:33,5/1/17 19:33,4,2
194,4,5/1/17 7:02,5/1/17 7:02,8,10
194,3,5/1/17 13:44,5/1/17 13:44,9,2
241,3,5/1/17 15:07,5/1/17 15:08,3,6
241,3,5/1/17 9:35,5/1/17 9:36,1,9
152,4,5/1/17 10:45,5/1/17 10:46,3,1
152,1,5/1/17 5:25,5/1/17 5:26,7,10
152,2,5/1/17 10:03,5/1/17 10:04,2,7
152,1,5/1/17 15:08,5/1/17 15:09,9,5
190,4,5/1/17 17:35,5/1/17 17:36,10,4
190,1,5/1/17 7:57,5/1/17 7:58,4,10
24,1,5/1/17 8:06,5/1/17 8:06,2,8
24,3,5/1/17 19:46,5/1/17 19:46,8,10
24,3,5/1/17 15:43,5/1/17 15:43,4,10
279,3,5/1/17 17:23,5/1/17 17:24,9,5
279,2,5/1/17 18:16,5/1/17 18:16,5,3
279,1,5/1/17 15:52,5/1/17 15:53,3,9
285,2,5/1/17 9:09,5/1/17 9:10,10,4
285,2,5/1/17 10:05,5/1/17 10:06,2,8
285,3,5/1/17 13:36,5/1/17 13:36,7,10
285,1,5/1/17 13:28,5/1/17 13:29,9,6
270,3,5/1/17 4:05,5/1/17 4:05,10,6
270,4,5/1/17 16:17,5/1/17 16:18,1,6
270,2,5/1/17 17:16,5/1/17 17:17,9,2
233,2,5/1/17 6:50,5/1/17 6:50,10,5
233,2,5/1/17 15:01,5/1/17 15:01,4,3
233,3,5/1/17 12:42,5/1/17 12:42,2,3
233,2,5/1/17 12:42,5/1/17 12:43,2,6
42,4,5/1/17 8:32,5/1/17 8:33,9,2
42,3,5/1/17 4:40,5/1/17 4:40,10,6
42,1,5/1/17 7:16,5/1/17 7:17,6,3
197,4,5/1/17 16:46,5/1/17 16:47,4,8
197,4,5/1/17 18:24,5/1/17 18:25,8,7
197,1,5/1/17 18:43,5/1/17 18:43,4,6
197,3,5/1/17 4:05,5/1/17 4:06,1,6
206,4,5/1/17 18:26,5/1/17 18:26,9,5
206,2,5/1/17 14:26,5/1/17 14:27,3,10
206,2,5/1/17 9:36,5/1/17 9:37,10,6
206,2,5/1/17 10:10,5/1/17 10:11,3,8
206,4,5/1/17 5:46,5/1/17 5:47,9,3
295,1,5/1/17 18:18,5/1/17 18:19,7,10
295,1,5/1/17 12:47,5/1/17 12:47,9,5
295,1,5/1/17 10:00,5/1/17 10:00,2,7
295,4,5/1/17 7:50,5/1/17 7:50,4,3
151,4,5/1/17 7:11,5/1/17 7:11,7,10
151,2,5/1/17 5:06,5/1/17 5:06,7,2
151,4,5/1/17 13:44,5/1/17 13:44,1,5
151,3,5/1/17 16:20,5/1/17 16:21,6,2
151,3,5/1/17 4:46,5/1/17 4:46,2,9
52,4,5/1/17 7:45,5/1/17 7:45,4,3
52,4,5/1/17 4:40,5/1/17 4:40,5,10
52,2,5/1/17 5:31,5/1/17 5:31,3,2
185,4,5/1/17 12:30,5/1/17 12:30,6,5
185,3,5/1/17 15:37,5/1/17 15:37,7,4
185,1,5/1/17 7:08,5/1/17 7:09,2,8
185,2,5/1/17 13:33,5/1/17 13:33,6,2
65,4,5/1/17 6:44,5/1/17 6:44,9,10
65,1,5/1/17 5:39,5/1/17 5:40,8,2
206,1,5/1/17 6:07,5/1/17 6:07,5,3
206,1,5/1/17 7:01,5/1/17 7:01,1,4
206,1,5/1/17 11:03,5/1/17 11:04,3,9
206,2,5/1/17 15:26,5/1/17 15:26,2,4
81,4,5/1/17 4:49,5/1/17 4:49,4,3
81,4,5/1/17 6:13,5/1/17 6:13,3,9
81,2,5/1/17 8:54,5/1/17 8:55,2,4
81,1,5/1/17 14:00,5/1/17 14:01,10,2
81,1,5/1/17 8:30,5/1/17 8:30,9,7
22,4,5/1/17 13:42,5/1/17 13:42,8,2
22,2,5/1/17 11:37,5/1/17 11:38,10,4
22,2,5/1/17 15:10,5/1/17 15:10,10,5
22,2,5/1/17 10:10,5/1/17 10:10,2,1
270,3,5/1/17 5:33,5/1/17 5:34,2,8
270,3,5/1/17 11:16,5/1/17 11:17,8,3
270,3,5/1/17 5:18,5/1/17 5:18,2,1
204,3,5/1/17 16:56,5/1/17 16:57,10,5
204,3,5/1/17 15:19,5/1/17 15:19,4,1
204,1,5/1/17 18:45,5/1/17 18:45,7,8
218,2,5/1/17 11:11,5/1/17 11:12,8,4
218,4,5/1/17 13:19,5/1/17 13:20,3,10
217,3,5/1/17 13:48,5/1/17 13:48,10,3
217,2,5/1/17 12:06,5/1/17 12:07,3,10
217,2,5/1/17 16:31,5/1/17 16:31,10,7
217,2,5/1/17 5:43,5/1/17 5:43,10,9
11,2,5/1/17 6:28,5/1/17 6:28,4,3
11,2,5/1/17 10:19,5/1/17 10:19,2,3
11,2,5/1/17 19:41,5/1/17 19:42,3,6
219,3,5/1/17 10:33,5/1/17 10:34,9,3
219,1,5/1/17 6:56,5/1/17 6:57,1,8
219,3,5/1/17 14:33,5/1/17 14:33,4,2
219,4,5/1/17 12:49,5/1/17 12:50,2,10
189,3,5/1/17 4:02,5/1/17 4:02,7,5
189,3,5/1/17 17:47,5/1/17 17:48,2,9
189,4,5/1/17 7:22,5/1/17 7:23,9,1
189,1,5/1/17 16:11,5/1/17 16:12,2,9
14,3,5/1/17 7:34,5/1/17 7:34,4,2
14,2,5/1/17 15:09,5/1/17 15:10,6,10
14,3,5/1/17 5:29,5/1/17 5:29,7,8
117,1,5/1/17 13:49,5/1/17 13:49,1,3
117,1,5/1/17 7:36,5/1/17 7:37,1,7
117,4,5/1/17 12:10,5/1/17 12:11,3,7
152,3,5/1/17 19:52,5/1/17 19:52,1,4
152,2,5/1/17 15:56,5/1/17 15:57,9,5
152,3,5/1/17 17:19,5/1/17 17:20,3,10
152,3,5/1/17 18:15,5/1/17 18:15,8,6
219,2,5/1/17 6:10,5/1/17 6:11,8,5
219,2,5/1/17 16:49,5/1/17 16:49,3,1
190,3,5/1/17 11:41,5/1/17 11:41,8,10
190,2,5/1/17 11:55,5/1/17 11:55,7,1
190,1,5/1/17 13:30,5/1/17 13:30,6,9
190,2,5/1/17 6:31,5/1/17 6:31,4,2
146,4,5/1/17 4:37,5/1/17 4:37,2,4
146,3,5/1/17 11:37,5/1/17 11:37,2,3
146,4,5/1/17 17:01,5/1/17 17:01,3,4
146,4,5/1/17 17:29,5/1/17 17:30,10,4
146,2,5/1/17 15:27,5/1/17 15:27,5,3
190,2,5/1/17 4:00,5/1/17 4:01,10,2
190,3,5/1/17 6:54,5/1/17 6:55,1,9
175,2,5/1/17 16:53,5/1/17 16:54,4,8
175,4,5/1/17 15:43,5/1/17 15:43,8,7
80,2,5/1/17 15:07,5/1/17 15:07,7,4
80,1,5/1/17 10:27,5/1/17 10:27,7,8
80,1,5/1/17 7:54,5/1/17 7:55,9,3
103,3,5/1/17 8:57,5/1/17 8:58,6,1
103,3,5/1/17 14:00,5/1/17 14:00,1,2
103,2,5/1/17 4:19,5/1/17 4:19,5,1
103,1,5/1/17 7:25,5/1/17 7:25,3,4
103,2,5/1/17 17:28,5/1/17 17:28,9,10
23,1,5/1/17 8:46,5/1/17 8:47,8,1
23,1,5/1/17 6:32,5/1/17 6:32,6,4
199,3,5/1/17 12:20,5/1/17 12:20,1,6
199,4,5/1/17 17:37,5/1/17 17:37,9,1
199,1,5/1/17 16:17,5/1/17 16:17,9,7
199,2,5/1/17 9:00,5/1/17 9:00,10,8
199,3,5/1/17 5:42,5/1/17 5:42,4,8
244,1,5/1/17 13:41,5/1/17 13:41,4,9
244,3,5/1/17 14:24,5/1/17 14:24,3,4
244,3,5/1/17 12:05,5/1/17 12:06,7,9
244,3,5/1/17 16:06,5/1/17 16:06,7,10
163,4,5/1/17 8:07,5/1/17 8:08,10,3
163,4,5/1/17 15:06,5/1/17 15:07,1,10
163,4,5/1/17 9:51,5/1/17 9:51,4,2
163,4,5/1/17 19:53,5/1/17 19:53,3,5
162,3,5/1/17 19:07,5/1/17 19:07,4,3
162,4,5/1/17 15:16,5/1/17 15:16,10,5
30,2,5/1/17 10:10,5/1/17 10:10,9,6
30,3,5/1/17 14:07,5/1/17 14:07,7,9
30,4,5/1/17 7:38,5/1/17 7:38,6,7
30,2,5/1/17 5:48,5/1/17 5:48,9,8
177,1,5/1/17 14:27,5/1/17 14:28,3,10
177,2,5/1/17 4:03,5/1/17 4:04,9,1
258,4,5/1/17 13:14,5/1/17 13:14,6,4
258,2,5/1/17 15:26,5/1/17 15:26,7,2
258,2,5/1/17 12:16,5/1/17 12:17,7,2
258,3,5/1/17 15:41,5/1/17 15:41,8,1
165,1,5/1/17 8:09,5/1/17 8:10,5,1
165,3,5/1/17 4:45,5/1/17 4:46,6,10
165,1,5/1/17 15:16,5/1/17 15:17,4,7
